"season_contestant_id","contestant_id","episode_id","season_id","franchise_id","episode_num","contestant","outcome","detailed_outcome"
"F10S01C02","Q101","F10S01E01","F10S01","F10",1,"Be Be Zahara Benet","SAFE","SAFE"
"F10S01C02","Q101","F10S01E02","F10S01","F10",2,"Be Be Zahara Benet","SAFE","SAFE"
"F10S01C02","Q101","F10S01E03","F10S01","F10",3,"Be Be Zahara Benet","WIN","WIN"
"F10S01C02","Q101","F10S01E04","F10S01","F10",4,"Be Be Zahara Benet","HIGH","HIGH"
"F10S01C02","Q101","F10S01E05","F10S01","F10",5,"Be Be Zahara Benet","BTM","BTM2"
"F10S01C02","Q101","F10S01E06","F10S01","F10",6,"Be Be Zahara Benet","WIN","WIN"
"F10S01C02","Q101","F10S01E07","F10S01","F10",7,"Be Be Zahara Benet","RUN","RUN"
"F10S01C02","Q101","F10S01E08","F10S01","F10",8,"Be Be Zahara Benet","WIN","WINNER"
"F10S01C02","Q101","F10S01E09","F10S01","F10",9,"Be Be Zahara Benet","GUEST","GUEST"
"F10S01C04","Q103","F10S01E01","F10S01","F10",1,"Nina Flowers","WIN","WIN"
"F10S01C04","Q103","F10S01E02","F10S01","F10",2,"Nina Flowers","HIGH","HIGHTEAM"
"F10S01C04","Q103","F10S01E03","F10S01","F10",3,"Nina Flowers","HIGH","HIGH"
"F10S01C04","Q103","F10S01E04","F10S01","F10",4,"Nina Flowers","HIGH","HIGH"
"F10S01C04","Q103","F10S01E05","F10S01","F10",5,"Nina Flowers","SAFE","SAFE"
"F10S01C04","Q103","F10S01E06","F10S01","F10",6,"Nina Flowers","HIGH","HIGHMiniChall.Winner"
"F10S01C04","Q103","F10S01E07","F10S01","F10",7,"Nina Flowers","RUN","RUN"
"F10S01C04","Q103","F10S01E08","F10S01","F10",8,"Nina Flowers","RUNNERUP","RUNNERUP"
"F10S01C04","Q103","F10S01E09","F10S01","F10",9,"Nina Flowers","MISSCON","MISSCON"
"F10S01C06","Q105","F10S01E01","F10S01","F10",1,"Rebecca Glasscock","LOW","LOW"
"F10S01C06","Q105","F10S01E02","F10S01","F10",2,"Rebecca Glasscock","HIGH","HIGHTEAM"
"F10S01C06","Q105","F10S01E03","F10S01","F10",3,"Rebecca Glasscock","HIGH","HIGH"
"F10S01C06","Q105","F10S01E04","F10S01","F10",4,"Rebecca Glasscock","BTM","BTM2"
"F10S01C06","Q105","F10S01E05","F10S01","F10",5,"Rebecca Glasscock","WIN","WINMiniChall.Winner"
"F10S01C06","Q105","F10S01E06","F10S01","F10",6,"Rebecca Glasscock","BTM","BTM2"
"F10S01C06","Q105","F10S01E07","F10S01","F10",7,"Rebecca Glasscock","RUN","RUN"
"F10S01C06","Q105","F10S01E08","F10S01","F10",8,"Rebecca Glasscock","ELIM","ELIM"
"F10S01C06","Q105","F10S01E09","F10S01","F10",9,"Rebecca Glasscock","GUEST","GUEST"
"F10S01C07","Q106","F10S01E01","F10S01","F10",1,"Shannel","SAFE","SAFE"
"F10S01C07","Q106","F10S01E02","F10S01","F10",2,"Shannel","HIGH","HIGHTEAM"
"F10S01C07","Q106","F10S01E03","F10S01","F10",3,"Shannel","BTM","BTM2"
"F10S01C07","Q106","F10S01E04","F10S01","F10",4,"Shannel","LOW","LOW"
"F10S01C07","Q106","F10S01E05","F10S01","F10",5,"Shannel","HIGH","HIGH"
"F10S01C07","Q106","F10S01E06","F10S01","F10",6,"Shannel","ELIM","ELIM"
"F10S01C07","Q106","F10S01E09","F10S01","F10",9,"Shannel","GUEST","GUEST"
"F10S01C05","Q104","F10S01E01","F10S01","F10",1,"Ongina","HIGH","HIGH"
"F10S01C05","Q104","F10S01E02","F10S01","F10",2,"Ongina","WIN","WINTeamCaptain"
"F10S01C05","Q104","F10S01E03","F10S01","F10",3,"Ongina","HIGH","HIGH"
"F10S01C05","Q104","F10S01E04","F10S01","F10",4,"Ongina","WIN","WIN"
"F10S01C05","Q104","F10S01E05","F10S01","F10",5,"Ongina","ELIM","ELIM"
"F10S01C05","Q104","F10S01E09","F10S01","F10",9,"Ongina","GUEST","GUEST"
"F10S01C03","Q102","F10S01E01","F10S01","F10",1,"Jade","SAFE","SAFE"
"F10S01C03","Q102","F10S01E02","F10S01","F10",2,"Jade","SAFE","SAFE"
"F10S01C03","Q102","F10S01E03","F10S01","F10",3,"Jade","LOW","LOW"
"F10S01C03","Q102","F10S01E04","F10S01","F10",4,"Jade","ELIM","ELIMMiniChall.Winner"
"F10S01C03","Q102","F10S01E09","F10S01","F10",9,"Jade","GUEST","GUEST"
"F10S01C01","Q100","F10S01E01","F10S01","F10",1,"Akashia","BTM","BTM2"
"F10S01C01","Q100","F10S01E02","F10S01","F10",2,"Akashia","BTM","BTM2TeamCaptain"
"F10S01C01","Q100","F10S01E03","F10S01","F10",3,"Akashia","ELIM","ELIM"
"F10S01C01","Q100","F10S01E09","F10S01","F10",9,"Akashia","GUEST","GUEST"
"F10S01C08","Q107","F10S01E01","F10S01","F10",1,"Tammie Brown","SAFE","SAFE"
"F10S01C08","Q107","F10S01E02","F10S01","F10",2,"Tammie Brown","ELIM","ELIM"
"F10S01C08","Q107","F10S01E09","F10S01","F10",9,"Tammie Brown","GUEST","GUEST"
"F10S01C09","Q108","F10S01E01","F10S01","F10",1,"Victoria ""Porkchop"" Parker","ELIM","ELIM"
"F10S01C09","Q108","F10S01E09","F10S01","F10",9,"Victoria ""Porkchop"" Parker","GUEST","GUEST"
"F10S02C12","Q120","F10S02E01","F10S02","F10",1,"Tyra Sanchez","HIGH","HIGH"
"F10S02C12","Q120","F10S02E02","F10S02","F10",2,"Tyra Sanchez","HIGH","HIGHTEAM"
"F10S02C12","Q120","F10S02E03","F10S02","F10",3,"Tyra Sanchez","WIN","WIN"
"F10S02C12","Q120","F10S02E04","F10S02","F10",4,"Tyra Sanchez","SAFE","SAFE"
"F10S02C12","Q120","F10S02E05","F10S02","F10",5,"Tyra Sanchez","WIN","WIN"
"F10S02C12","Q120","F10S02E06","F10S02","F10",6,"Tyra Sanchez","LOW","LOW"
"F10S02C12","Q120","F10S02E07","F10S02","F10",7,"Tyra Sanchez","HIGH","HIGH"
"F10S02C12","Q120","F10S02E08","F10S02","F10",8,"Tyra Sanchez","HIGH","HIGH"
"F10S02C12","Q120","F10S02E09","F10S02","F10",9,"Tyra Sanchez","WIN","WINMiniChall.Winner"
