"id","name","region","premier_date","status","link_wiki","link_fandom"
"F10","RuPaul's Drag Race","United States",2009-02-02,"Upcoming season announced","https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race","https://rupaulsdragrace.fandom.com/wiki/RuPaul%27s_Drag_Race"
"F11","RuPaul's Drag Race All Stars","United States",2012-10-22,"Season currently airing","https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_All_Stars","https://rupaulsdragrace.fandom.com/wiki/RuPaul%27s_Drag_Race_All_Stars"
"F12","Drag Race Thailand","Thailand",2018-02-15,"Upcoming season announced","https://en.wikipedia.org/wiki/Drag_Race_Thailand","https://rupaulsdragrace.fandom.com/wiki/Drag_Race_Thailand"
"F13","RuPaul's Drag Race UK","United Kingdom",2019-10-03,"Upcoming season announced","https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_UK","https://rupaulsdragrace.fandom.com/wiki/RuPaul%27s_Drag_Race_UK"
"F14","Canada's Drag Race","Canada",2020-07-02,"Upcoming season announced","https://en.wikipedia.org/wiki/Canada%27s_Drag_Race","https://rupaulsdragrace.fandom.com/wiki/Canada%27s_Drag_Race"
"F15","Drag Race Holland","Netherlands",2020-09-18,"Unknown status","https://en.wikipedia.org/wiki/Drag_Race_Holland","https://rupaulsdragrace.fandom.com/wiki/Drag_Race_Holland"
"F16","RuPaul's Drag Race Down Under","AustraliaNew Zealand",2021-05-01,"Upcoming season announced","https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_Down_Under","https://rupaulsdragrace.fandom.com/wiki/RuPaul%27s_Drag_Race_Down_Under"
"F17","Drag Race España","Spain",2021-05-30,"Upcoming season announced","https://en.wikipedia.org/wiki/Drag_Race_Espa%C3%B1a","https://rupaulsdragrace.fandom.com/wiki/Drag_Race_España"
"F18","Drag Race Italia","Italy",2021-11-18,"Upcoming season announced","https://en.wikipedia.org/wiki/Drag_Race_Italia","https://rupaulsdragrace.fandom.com/wiki/Drag_Race_Italia"
"F19","RuPaul's Drag Race: UK vs the World","Global",2022-02-01,"March 8, 2022","https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race:_UK_vs_the_World","https://rupaulsdragrace.fandom.com/wiki/RuPaul%27s_Drag_Race:_UK_vs_the_World"
"F20","Drag Race France","France",2022-06-25,"Season currently airing","https://en.wikipedia.org/wiki/Drag_Race_France","https://rupaulsdragrace.fandom.com/wiki/Drag_Race_France"
"F21","Drag Race Philippines","Philippines",2022-08-17,"Upcoming season announced","https://en.wikipedia.org/wiki/Drag_Race_Philippines","https://rupaulsdragrace.fandom.com/wiki/Drag_Race_Philippines"
