"lip_sync_id","episode_id","season_id","franchise_id","contestant","song_id","song","artist","outcome"
"LS100","F10S01E01","F10S01","F10","Akashia","S100","Supermodel (You Better Work)","RuPaul","Victoria ""Porkchop"" Parker"
"LS100","F10S01E01","F10S01","F10","Victoria ""Porkchop"" Parker","S100","Supermodel (You Better Work)","RuPaul","Victoria ""Porkchop"" Parker"
"LS101","F10S01E02","F10S01","F10","Akashia","S101","We Break the Dawn","Michelle Williams","Tammie Brown"
"LS101","F10S01E02","F10S01","F10","Tammie Brown","S101","We Break the Dawn","Michelle Williams","Tammie Brown"
"LS102","F10S01E03","F10S01","F10","Akashia","S102","The Greatest Love of All","Whitney Houston","Akashia"
"LS102","F10S01E03","F10S01","F10","Shannel","S102","The Greatest Love of All","Whitney Houston","Akashia"
"LS103","F10S01E04","F10S01","F10","Jade","S103","Would I Lie to You?","Eurythmics","Jade"
"LS103","F10S01E04","F10S01","F10","Rebecca Glasscock","S103","Would I Lie to You?","Eurythmics","Jade"
"LS104","F10S01E05","F10S01","F10","BeBe Zahara Benet","S104","Stronger","Britney Spears","Ongina"
"LS104","F10S01E05","F10S01","F10","Ongina","S104","Stronger","Britney Spears","Ongina"
"LS105","F10S01E06","F10S01","F10","Rebecca Glasscock","S105","Shackles (Praise You)","Mary Mary","Shannel"
"LS105","F10S01E06","F10S01","F10","Shannel","S105","Shackles (Praise You)","Mary Mary","Shannel"
"LS106","F10S01E08","F10S01","F10","BeBe Zahara Benet","S106","Cover Girl (Put the Bass in Your Walk)","RuPaul","Nina Flowers"
"LS106","F10S01E08","F10S01","F10","Nina Flowers","S106","Cover Girl (Put the Bass in Your Walk)","RuPaul","Nina Flowers"
"LS107","F10S02E01","F10S02","F10","Sahara Davenport","S106","Cover Girl (Put the Bass in Your Walk)","RuPaul","Shangela Laquifa Wadley"
"LS107","F10S02E01","F10S02","F10","Shangela Laquifa Wadley","S106","Cover Girl (Put the Bass in Your Walk)","RuPaul","Shangela Laquifa Wadley"
"LS116","F10S02E11","F10S02","F10","Raven","S115","Jealous of My Boogie (Gomi and RasJek Edit)","RuPaul","Raven"
"LS116","F10S02E11","F10S02","F10","Tyra Sanchez","S115","Jealous of My Boogie (Gomi and RasJek Edit)","RuPaul","Raven"
"LS108","F10S02E02","F10S02","F10","Nicole Paige Brooks","S107","My Lovin' (You're Never Gonna Get It)","En Vogue","Nicole Paige Brooks"
