"id","contestant_id","season_id","franchise_id","contestant","hometown","age","rank","link_image"
"F10S01C01","Q100","F10S01","F10","Akashia","Cleveland, Ohio","24","7th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/a/a4/AkashiaS1CastMug.png"
"F10S01C02","Q101","F10S01","F10","BeBe Zahara Benet","Minneapolis, Minnesota","28","Winner","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/4/40/BeBeZaharaBenetS1CastMug.png"
"F10S01C03","Q102","F10S01","F10","Jade","Chicago, Illinois","25","6th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/5/57/JadeSotomayorS1CastMug.png"
"F10S01C04","Q103","F10S01","F10","Nina Flowers","Denver, Colorado","34","Runner-up","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/6f/NinaFlowersS1CastMug.png"
"F10S01C05","Q104","F10S01","F10","Ongina","Los Angeles, California","26","5th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/c/c3/OnginaS1CastMug.png"
"F10S01C06","Q105","F10S01","F10","Rebecca Glasscock","Fort Lauderdale, Florida","26","3rd place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/a/ae/RebeccaGlasscockS1CastMug.png"
"F10S01C07","Q106","F10S01","F10","Shannel","Las Vegas, Nevada","29","4th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/a/a7/ShannelS1CastMug.png"
"F10S01C08","Q107","F10S01","F10","Tammie Brown","Long Beach, California","26","8th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/9/96/TammieBrownS1CastMug.png"
"F10S01C09","Q108","F10S01","F10","Victoria ""Porkchop"" Parker","Raleigh, North Carolina","39","9th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/5/5c/VictoriaParkerS1CastMug.png"
"F10S02C01","Q109","F10S02","F10","Jessica Wild","San Juan, Puerto Rico","29","6th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/9/98/JessicaWildS2CastMug.png"
"F10S02C02","Q110","F10S02","F10","Jujubee","Boston, Massachusetts","25","3rd place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/0/06/JujubeeS2CastMug.png"
