"song_id","song","artist","spotify_track_id","spotify_artist_id","spotify_song","spotify_artist","album","track_url","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature"
"S100","Supermodel (You Better Work)","RuPaul","36Rpz4MZQhGknLEmTmHr8v","2SdOKxC1sSxEyv8JYERaNe","Supermodel (You Better Work)","RuPaul","Supermodel of the World","https://open.spotify.com/track/36Rpz4MZQhGknLEmTmHr8v",0.792,0.562,7,-11.379,1,0.0929,0.0152,7.53e-05,0.428,0.592,126.221,239933,4
"S101","We Break the Dawn","Michelle Williams","01drW5lmrI1SWrSkDzivsj","6t7nbFAc2dUa7oNu7kBOui","We Break the Dawn","Michelle Williams","We Break the Dawn","https://open.spotify.com/track/01drW5lmrI1SWrSkDzivsj",0.708,0.635,4,-5.304,0,0.0389,0.0324,0.000495,0.109,0.387,110.978,236147,4
"S102","The Greatest Love of All","Whitney Houston","3yOzDXX8cTz25jid6uKTFD","6XpaIBNiVzIetEPCWDvAFP","Greatest Love of All","Whitney Houston","Whitney Houston (The Deluxe Anniversary Edition)","https://open.spotify.com/track/3yOzDXX8cTz25jid6uKTFD",0.534,0.399,9,-10.45,1,0.0324,0.682,0,0.172,0.29,130.961,296600,4
"S103","Would I Lie to You?","Eurythmics","1lJZSsMoWEbrgaY6CxPMf8","0NKDgy9j66h3DLnN8qu1bB","Would I Lie to You? - Remastered Version","Eurythmics","Be Yourself Tonight","https://open.spotify.com/track/1lJZSsMoWEbrgaY6CxPMf8",0.613,0.912,2,-4.638,1,0.0328,0.0378,3.65e-05,0.52,0.733,131.968,268240,4
"S104","Stronger","Britney Spears","5QhBKPqsnX1uY9fZNaAtZg","26dSoYclwsYLMAKD3tpOr4","Stronger","Britney Spears","Oops!... I Did It Again","https://open.spotify.com/track/5QhBKPqsnX1uY9fZNaAtZg",0.707,0.923,11,-3.957,1,0.0521,0.128,0.000437,0.273,0.842,108.049,203000,4
"S105","Shackles (Praise You)","Mary Mary","7JKEA8xYDoFp4q0QBW2PGg","12Kgt2eahvxNWhD5PnSUde","Shackles (Praise You)","Mary Mary","Go Get It","https://open.spotify.com/track/7JKEA8xYDoFp4q0QBW2PGg",0.779,0.834,7,-2.773,1,0.162,0.0343,0,0.0886,0.8,100.46,198347,4
"S106","Cover Girl (Put the Bass in Your Walk)","RuPaul","7jman10UPhzhtOOqZLjSsh","2SdOKxC1sSxEyv8JYERaNe","Cover Girl","RuPaul","Champion","https://open.spotify.com/track/7jman10UPhzhtOOqZLjSsh",0.918,0.746,6,-4.779,0,0.0851,0.00334,2.86e-05,0.0959,0.717,127.995,178627,4
"S115","Jealous of My Boogie (Gomi and RasJek Edit)","RuPaul","1nw1pEmUmAug0UviCn9KHO","2SdOKxC1sSxEyv8JYERaNe","Jealous of My Boogie - Gomi & RasJek Edit","RuPaul","Jealous Of My Boogie - The RuMixes","https://open.spotify.com/track/1nw1pEmUmAug0UviCn9KHO",0.709,0.789,2,-5.21,0,0.0434,0.303,0,0.347,0.754,122.969,214493,4
"S107","My Lovin' (You're Never Gonna Get It)","En Vogue","3R97rNX7JnmshCWBwOSFet","5fikk4h5qbEebqK2Fc6e48","My Lovin' (You're Never Gonna Get It)","En Vogue","Funky Divas","https://open.spotify.com/track/3R97rNX7JnmshCWBwOSFet",0.767,0.839,8,-5.519,1,0.0613,0.0318,9.31e-06,0.111,0.461,98.055,281613,4
"S108","I Hear You Knocking","Wynonna Judd","1LFvcyg3bpq7AffqwuZ13K","4yiXkMbxDIZ3jgEG89NSC1","I Hear You Knocking","Wynonna","Sing - Chapter 1","https://open.spotify.com/track/1LFvcyg3bpq7AffqwuZ13K",0.685,0.933,9,-3.935,1,0.0472,0.0558,8.04e-06,0.276,0.562,108.047,175600,4
